City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Noumea,NC,2021-09-24 20:52:24,-22.2763,166.4572,73.0,99,96,7.02
68,Turochak,RU,2021-09-24 20:52:24,52.2576,87.1224,35.35,96,100,1.61
69,Ughelli,NG,2021-09-24 20:52:24,5.4899,6.0074,76.37,90,100,3.33
70,High Rock,BS,2021-09-24 20:52:24,26.6208,-78.2833,86.02,65,19,4.97
71,Severo-Kurilsk,RU,2021-09-24 20:47:36,50.6789,156.125,47.97,91,100,30.18
72,Pevek,RU,2021-09-24 20:52:25,69.7008,170.3133,27.9,85,100,10.92
73,Buriti Dos Lopes,BR,2021-09-24 20:52:25,-3.175,-41.8669,80.74,70,90,8.21
74,Klaksvik,FO,2021-09-24 20:52:25,62.2266,-6.589,43.72,67,97,9.15
75,Paamiut,GL,2021-09-24 20:52:25,61.994,-49.6678,32.95,51,0,34.18
76,Cidreira,BR,2021-09-24 20:52:26,-30.1811,-50.2056,63.72,83,26,7.7
77,Sur,OM,2021-09-24 20:52:26,22.5667,59.5289,82.92,72,100,9.75
78,Nusaybin,TR,2021-09-24 20:52:26,37.0778,41.2178,67.66,47,35,6.76
79,Juncos,PR,2021-09-24 20:52:27,18.2275,-65.921,88.88,77,86,5.1
80,Aklavik,CA,2021-09-24 20:52:27,68.2191,-135.0107,34.52,85,100,16.2
81,Samarai,PG,2021-09-24 20:52:27,-10.6167,150.6667,78.67,86,65,7.74
82,Clyde River,CA,2021-09-24 20:48:04,70.4692,-68.5914,35.83,75,75,4.61
83,Port Elizabeth,ZA,2021-09-24 20:47:50,-33.918,25.5701,54.1,94,20,4.61
84,Gwalior,IN,2021-09-24 20:52:27,26.2236,78.1792,77.72,89,74,4.32
85,Burgersdorp,ZA,2021-09-24 20:52:28,-30.9977,26.3286,61.12,17,16,0.78
86,Vardo,NO,2021-09-24 20:52:28,70.3705,31.1107,48.4,93,75,17.27
87,Allapalli,IN,2021-09-24 20:52:28,19.4167,80.0667,75.15,97,100,2.44
88,Baruun-Urt,MN,2021-09-24 20:52:29,46.6806,113.2792,49.87,94,31,7.67
89,Marck,FR,2021-09-24 20:52:29,50.949,1.9433,60.78,95,36,13.13
90,Lastoursville,GA,2021-09-24 20:52:29,-0.8143,12.7287,73.36,97,100,1.43
91,Kodiak,US,2021-09-24 20:52:29,57.79,-152.4072,49.51,29,1,6.91
92,Beira,MZ,2021-09-24 20:50:37,-19.8436,34.8389,66.29,88,0,5.99
93,Tyukhtet,RU,2021-09-24 20:52:30,56.5389,89.3011,32.88,98,100,9.73
94,Kencong,ID,2021-09-24 20:52:30,-8.2833,113.3667,74.44,92,68,1.79
95,San Isidro,PE,2021-09-24 20:52:30,-12.1167,-77.05,65.79,87,20,1.01
96,Angoche,MZ,2021-09-24 20:52:30,-16.2325,39.9086,73.26,77,0,5.95
97,Tiznit,MA,2021-09-24 20:52:31,29.5833,-9.5,64.13,72,0,3.22
98,Kaitangata,NZ,2021-09-24 20:52:31,-46.2817,169.8464,57.52,52,6,13.33
99,Tuktoyaktuk,CA,2021-09-24 20:52:31,69.4541,-133.0374,35.6,80,90,18.41
100,Sao Filipe,CV,2021-09-24 20:52:31,14.8961,-24.4956,78.78,75,78,9.62
101,Zhengjiatun,CN,2021-09-24 20:52:32,43.5064,123.5064,60.04,98,100,9.15
102,Naze,JP,2021-09-24 20:52:32,28.3667,129.4833,78.04,72,0,15.26
103,Hamilton,US,2021-09-24 20:52:31,39.1834,-84.5333,75.94,44,1,1.99
104,Urubicha,BO,2021-09-24 20:52:32,-15.3833,-62.95,97.95,22,74,1.95
105,Gravdal,NO,2021-09-24 20:52:33,68.1214,13.5031,46.99,78,100,13.6
106,Saint George,US,2021-09-24 20:52:33,37.1041,-113.5841,95.47,13,1,1.01
107,Khatanga,RU,2021-09-24 20:52:33,71.9667,102.5,29.8,91,75,6.17
108,Luang Prabang,LA,2021-09-24 20:52:33,19.8856,102.1347,74.59,87,100,2.13
109,Nikolayevsk-Na-Amure,RU,2021-09-24 20:52:34,53.1406,140.73,43.75,80,0,3.56
110,Sabang,ID,2021-09-24 20:52:34,5.8933,95.3214,82.74,75,77,16.42
111,Torbat-E Jam,IR,2021-09-24 20:52:34,35.244,60.6225,72.55,14,0,7.27
112,Shingu,JP,2021-09-24 20:52:34,33.7333,135.9833,68.92,87,40,5.35
